comment_id,comment_text,account_age_days,posting_frequency_per_min,similarity_to_trending,engagement_rate,is_it_cell,cleaned_text,scaled_age,scaled_frequency,scaled_similarity
C0001,I absolutely love this new update! The UI looks clean and crisp. 👍,998,0.46,0.215,19.62,0,i absolutely love this new update the ui looks clean and crisp,0.532017075773746,-0.9386824640202326,0.215
C0002,Can someone explain how to solve the 3rd question in the ML assignment? !!,706,0.43,0.308,15.84,0,can someone explain how to solve the rd question in the ml assignment,0.3762006403415155,-0.9434088824960231,0.308
C0003,The customer service was really helpful and sorted my issue in 5 minutes.,612,0.66,0.104,9.67,0,the customer service was really helpful and sorted my issue in minutes,0.3260405549626468,-0.907173007514963,0.104
C0004,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",896,0.05,0.0,9.19,0,honestly i think the movie was slightly overrated but the acting was top tier,0.47758804695837787,-1.0032768498560352,0.0
C0005,Struggling with coding errors all day... need a break lol.,394,0.59,0.059,4.94,0,struggling with coding errors all day need a break lol,0.2097118463180363,-0.9182013172918074,0.059
C0006,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,19,9.48,0.872,35.43,1,click here to earn daily working from home real link in bio,0.0096051227321238,0.4823940243674243,0.872
C0007,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,2,13.58,0.662,39.98,1,support #leader now share this message to groups now #mustwatch,0.0005336179295624333,1.12833788272545,0.662
C0008,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,3,9.6,0.914,29.72,1,amazing offer get free crypto now click link below,0.0010672358591248669,0.5012996982705858,0.914
C0009,"I'm not sure if this is correct, but let's see how it goes.",545,0.19,0.134,9.33,0,im not sure if this is correct but lets see how it goes,0.29028815368196376,-0.9812202303023464,0.134
C0010,Does anyone know if the local train is running on schedule today?,797,0.43,0.189,5.67,0,does anyone know if the local train is running on schedule today,0.42475987193169695,-0.9434088824960231,0.189
C0011,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,23,16.37,0.641,45.37,1,the truth has been exposed watch this video before it gets deleted,0.011739594450373533,1.5678948009739606,0.641
C0012,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",1095,0.55,0.138,10.49,0,wow that sunset is gorgeous thanks for sharing the photo,0.5837780149413021,-0.9245032085928613,0.138
C0013,"Haha that is so funny, thanks for making my day!",208,0.28,0.104,17.29,0,haha that is so funny thanks for making my day,0.11045891141942371,-0.9670409748749751,0.104
C0014,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,10,7.48,0.816,24.95,1,earn passive income easily sign up using code bot real cash #alert,0.0048025613660619,0.16729945931472875,0.816
C0015,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",1155,0.77,0.225,10.96,0,wow that sunset is gorgeous thanks for sharing the photo,0.6157950907150481,-0.8898428064370647,0.225
C0016,"I'm not sure if this is correct, but let's see how it goes.",550,0.05,0.26,11.11,0,im not sure if this is correct but lets see how it goes,0.29295624332977593,-1.0032768498560352,0.26
C0017,What a great performance by the team. Very happy with the result.,635,0.85,0.06,16.17,0,what a great performance by the team very happy with the result,0.3383137673425827,-0.877239023834957,0.06
C0018,Does anyone know if the local train is running on schedule today?,918,0.19,0.142,16.86,0,does anyone know if the local train is running on schedule today,0.4893276414087514,-0.9812202303023464,0.142
