comment_id,comment_text,account_age_days,posting_frequency_per_min,similarity_to_trending,engagement_rate,is_it_cell
C0001,I absolutely love this new update! The UI looks clean and crisp. 👍,998,0.46,0.215,19.62,0
C0002,Can someone explain how to solve the 3rd question in the ML assignment? !!,706,0.43,0.308,15.84,0
C0003,The customer service was really helpful and sorted my issue in 5 minutes.,612,0.66,0.104,9.67,0
C0004,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",896,0.05,0.0,9.19,0
C0005,Struggling with coding errors all day... need a break lol.,394,0.59,0.059,4.94,0
C0006,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,19,9.48,0.872,35.43,1
C0007,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,2,13.58,0.662,39.98,1
C0008,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,3,9.6,0.914,29.72,1
C0009,"I'm not sure if this is correct, but let's see how it goes.",545,0.19,0.134,9.33,0
C0010,Does anyone know if the local train is running on schedule today?,797,0.43,0.189,5.67,0
C0011,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!!,23,16.37,0.641,45.37,1
C0012,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",1095,0.55,0.138,10.49,0
C0013,"Haha that is so funny, thanks for making my day!",208,0.28,0.104,17.29,0
C0014,Earn passive income easily. Sign up using code BOT999. Real cash! #ALERT,10,7.48,0.816,24.95,1
C0015,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",1155,0.77,0.225,10.96,0
C0016,"I'm not sure if this is correct, but let's see how it goes.",550,0.05,0.26,11.11,0
C0017,What a great performance by the team. Very happy with the result.,635,0.85,0.06,16.17,0
C0018,Does anyone know if the local train is running on schedule today?,918,0.19,0.142,16.86,0
C0019,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",25,15.18,0.796,46.39,1
C0020,Just finished reading this book. Highly recommend it to everyone.,30,0.75,0.159,10.5,0
C0021,The customer service was really helpful and sorted my issue in 5 minutes.,836,0.05,0.128,13.79,0
C0022,Can someone explain how to solve the 3rd question in the ML assignment?,1391,0.34,0.069,9.49,0
C0023,This channel is biased and spreading fake propaganda. Ban them! #JOINNOW,80,14.01,0.939,36.8,1
C0024,Just finished reading this book. Highly recommend it to everyone.,925,0.91,0.168,10.45,0
C0025,Beautiful weather today. Going out for a cup of coffee. haha,1069,0.42,0.113,18.37,0
C0026,Don't listen to this fake news! The truth is hidden by mainstream media!,60,10.83,0.801,28.37,1
C0027,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #ALERT,17,10.42,0.765,31.56,1
C0028,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",12,11.34,1.0,33.27,1
C0029,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",903,0.48,0.0,11.87,0
C0030,This is completely fake! Stop spreading negative rumors immediately!,11,12.41,0.748,33.5,1
C0031,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,10,12.02,0.777,35.45,1
C0032,Struggling with coding errors all day... need a break lol.,786,0.15,0.264,15.76,0
C0033,What a great performance by the team. Very happy with the result.,1116,0.23,0.29,4.99,0
C0034,"I'm not sure if this is correct, but let's see how it goes.",1034,1.16,0.051,9.17,0
C0035,Does anyone know if the local train is running on schedule today?,839,0.35,0.0,12.34,0
C0036,Follow my account for free premium tips and tricks. Guaranteed success!,32,14.15,0.69,40.64,1
C0037,Just finished reading this book. Highly recommend it to everyone. !!,735,0.38,0.061,10.22,0
C0038,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,33,14.22,0.827,42.82,1
C0039,This person is a traitor! Stop spreading lies about our great country!,23,10.7,0.775,26.28,1
C0040,"Wow, that sunset is gorgeous! Thanks for sharing the photo. haha",1276,0.89,0.063,15.09,0
C0041,Struggling with coding errors all day... need a break lol. haha,1286,0.57,0.235,12.87,0
C0042,Can someone explain how to solve the 3rd question in the ML assignment?,313,0.81,0.283,15.67,0
C0043,Struggling with coding errors all day... need a break lol. !!,418,0.27,0.037,15.85,0
C0044,The customer service was really helpful and sorted my issue in 5 minutes.,1307,0.63,0.244,7.66,0
C0045,"Honestly, I think the movie was slightly overrated, but the acting was top tier. haha",858,0.09,0.073,16.39,0
C0046,I absolutely love this new update! The UI looks clean and crisp.,704,0.86,0.204,25.67,0
C0047,"Honestly, I think the movie was slightly overrated, but the acting was top tier. 😊",837,0.08,0.147,7.18,0
C0048,Can someone explain how to solve the 3rd question in the ML assignment?,1190,0.51,0.136,11.38,0
C0049,That match last night was insane! What a finish in the last minute.,1096,0.36,0.228,17.23,0
C0050,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #JOINNOW,12,10.63,0.826,27.24,1
C0051,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",869,0.62,0.062,12.77,0
C0052,Boycott this movie! It hurts community sentiments! #BoycottTrending #ALERT,29,16.23,0.806,46.74,1
C0053,Beautiful weather today. Going out for a cup of coffee.,1226,0.21,0.288,16.53,0
C0054,SUPPORT THIS LEADER FOR BETTER FUTURE! DO NOT TRUST THE OPPOSITION!! #Victory2026,50,9.58,0.862,38.01,1
C0055,The customer service was really helpful and sorted my issue in 5 minutes.,1028,0.84,0.245,15.26,0
C0056,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",673,0.73,0.073,10.82,0
C0057,"Honestly, I think the movie was slightly overrated, but the acting was top tier. haha",605,0.52,0.381,2.66,0
C0058,Struggling with coding errors all day... need a break lol.,1074,0.05,0.103,17.44,0
C0059,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,5,18.24,0.815,52.0,1
C0060,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #ALERT,3,6.92,0.805,20.2,1
C0061,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1657,0.69,0.0,12.93,0
C0062,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!!,48,10.22,0.6,25.83,1
C0063,Earn passive income easily. Sign up using code BOT999. Real cash! #JOINNOW,6,18.65,0.743,49.37,1
C0064,I absolutely love this new update! The UI looks clean and crisp.,1506,0.62,0.024,16.59,0
C0065,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #MUSTWATCH,93,13.51,0.998,30.14,1
C0066,Beautiful weather today. Going out for a cup of coffee.,1537,0.28,0.022,10.81,0
C0067,Does anyone know if the local train is running on schedule today?,1548,0.49,0.057,5.53,0
C0068,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!! #MUSTWATCH,18,11.58,0.996,28.76,1
C0069,SUPPORT #LEADER2026 NOW! SHARE THIS MESSAGE TO 10 GROUPS NOW!!! #JOINNOW,31,11.49,0.744,32.35,1
C0070,I absolutely love this new update! The UI looks clean and crisp.,1739,0.62,0.241,10.99,0
C0071,"Honestly, I think the movie was slightly overrated, but the acting was top tier. 👍",824,0.69,0.163,2.51,0
C0072,Does anyone know if the local train is running on schedule today?,1312,0.32,0.361,15.43,0
C0073,What a great performance by the team. Very happy with the result.,828,0.63,0.139,9.57,0
C0074,Can someone explain how to solve the 3rd question in the ML assignment?,883,0.77,0.104,8.89,0
C0075,Don't listen to this fake news! The truth is hidden by mainstream media! #ALERT,36,10.58,0.908,30.57,1
C0076,This person is a traitor! Stop spreading lies about our great country! #JOINNOW,40,9.48,0.905,28.36,1
C0077,"Worst brand ever! Total scam, do not buy their products! SCAMMER!!",50,9.16,0.797,25.75,1
C0078,I absolutely love this new update! The UI looks clean and crisp.,1311,0.32,0.205,10.99,0
C0079,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",712,0.83,0.233,16.07,0
C0080,The customer service was really helpful and sorted my issue in 5 minutes.,1322,0.51,0.218,10.45,0
C0081,I absolutely love this new update! The UI looks clean and crisp. 😊,929,0.46,0.16,14.98,0
C0082,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",472,1.13,0.049,5.93,0
C0083,Does anyone know if the local train is running on schedule today?,1263,0.74,0.212,15.14,0
C0084,The customer service was really helpful and sorted my issue in 5 minutes.,795,0.23,0.158,8.61,0
C0085,Does anyone know if the local train is running on schedule today?,1190,0.46,0.067,10.39,0
C0086,This channel is biased and spreading fake propaganda. Ban them!,5,14.46,0.963,39.6,1
C0087,CLICK HERE TO EARN $500 DAILY WORKING FROM HOME! 100% REAL LINK IN BIO!!!,52,12.82,0.743,35.15,1
C0088,Just finished reading this book. Highly recommend it to everyone.,220,0.08,0.078,10.93,0
C0089,AMAZING OFFER! GET FREE CRYPTO NOW! CLICK LINK BELOW!!! #MUSTWATCH,46,3.85,0.988,11.42,1
C0090,"This recipe looks delicious, definitely trying it out this Sunday!",798,0.3,0.145,18.36,0
C0091,"Honestly, I think the movie was slightly overrated, but the acting was top tier.",1108,0.65,0.159,4.77,0
C0092,"Worst brand ever! Total scam, do not buy their products! SCAMMER!! #MUSTWATCH",61,8.62,0.827,23.54,1
C0093,"I don't agree with your opinion, but I appreciate the respectful debate here.",839,0.27,0.152,14.49,0
C0094,Earn passive income easily. Sign up using code BOT999. Real cash!,30,10.27,1.0,32.78,1
C0095,THE TRUTH HAS BEEN EXPOSED! WATCH THIS VIDEO BEFORE IT GETS DELETED!!! #JOINNOW,70,19.26,1.0,47.23,1
C0096,Just finished reading this book. Highly recommend it to everyone. haha,464,0.32,0.0,9.37,0
C0097,"Haha that is so funny, thanks for making my day!",496,0.55,0.184,21.38,0
C0098,"Haha that is so funny, thanks for making my day!",1180,0.33,0.06,14.46,0
C0099,That match last night was insane! What a finish in the last minute.,271,1.05,0.268,9.65,0
C0100,"Wow, that sunset is gorgeous! Thanks for sharing the photo.",114,0.91,0.139,18.19,0
